Control - E1,Control - E2,Control - E3
3.6039788729998046,3.6211913970722263,3.7470529539400146
3.6030389200724455,3.6227317616714076,3.746738904659042
3.6010952754709726,3.6206039609349077,3.7487348820996225
3.5864453167318664,3.6243379294944775,3.761584114140427
3.54751252470057,3.6230174811828397,3.7668302512705907
3.546553890672856,3.6155672442148785,3.7698482835740705
3.556640904084027,3.613742583660323,3.7681756762786174
3.5580545479839225,3.6189693153435023,3.7652639956973295
3.5894399735169267,3.6768964939759465,3.7692790992589105
3.5873171497383174,3.6821139940714906,3.7685304930680763
3.586022934383684,3.6790022528839605,3.7571753805109296
3.582616904306583,3.6425236281673006,3.771781782830852
3.5839187756301802,3.6430432889641073,3.7676635411263737
3.6060024103714112,3.715706031031572,3.7798102213491505
3.610070658569284,3.7418674826591576,4.056643584786325
3.607875241440374,3.7397766114424957,4.053055206687634
3.609081682543407,3.7426131294667226,4.061738826522331
3.603651800327762,3.742817469331276,4.0780208368986575
3.6159799170975093,3.7609879612334556,4.070385584798535
3.6083963883738734,3.7646589130413752,4.067125138690476
3.5997351970409692,3.766517318109822,4.057430891117216
3.4676404586112266,3.7724149196428574,4.042895356387505
3.476559416632673,3.772731653306878,4.044529059603491
3.511277107334124,3.7214768654198234,4.090239331551781
3.507171742885632,3.7221987592329544,4.085308413940822
3.51198380342093,3.6833791729383454,4.099623979139194
3.446311050726654,3.679269161419698,4.1343540355600545
3.4663427668083897,3.674618142889417,4.149298113995726
3.465174953849206,3.6702830142445464,4.161014540149572
3.4803149495193337,3.6208148742436976,4.1609270009401715
3.483089438383459,3.61906676151794,4.181692656153845
3.493587471043084,3.6189208910177406,4.1706721664529915
3.4925545167517003,3.6262977645938372,4.177479063568376
3.504464499647496,3.623843542240896,4.172704320428877
3.544369542040817,3.622399124882569,4.162301219833226
3.550110699047619,3.4506681064141413,4.160906767642643
3.545885668344671,3.439253907643098,4.160377768286144
3.5400778780612248,3.4458422010227268,4.159213246975548
3.5529298908163267,3.453527597676768,4.1582337111861865
3.5674704659183676,3.986095050181818,4.15957492728979
3.581589300578231,3.986878175151515,4.161051149211711
3.5948098586394557,3.9996068411212122,4.214328708174603
3.5879045493877553,4.0115516675151515,4.215026260238095
3.622957206530612,4.014099083124999,4.217372095396826
3.6235189333333335,4.062948440583334,4.261224566706349
3.629467078571428,4.05813323625,4.251936505714286
3.628407696874999,4.06215471875,4.289951563235294
3.624868705357143,4.062452700833333,4.303814651010101
3.62635314375,4.051969426666668,4.289162849242424
3.6155097602678565,4.063032222666667,4.302529238888888
3.6148441308035713,4.075744242758621,4.382541383939394
3.6175529102678574,4.1905939142857145,4.37464576
3.6045684728494627,4.1874667910714285,4.374500218484849
3.606983723924731,4.189689000892857,4.378456612580646
4.0513704373333335,4.2040099425925925,4.5021784725
4.041134766428572,4.195785644000001,4.501364553448276
4.038808378571429,4.198691501,4.503882806034483
4.043243569629629,4.2068299905,4.499180496551724
4.047857111851852,3.878651061333334,4.505833859482759
4.031130421481482,3.882013884666667,4.497166290517242
4.0376132251851855,3.870576106,4.501654711206896
4.037455808461539,3.867968557333333,4.499776904464286
4.049462316153846,3.8769642466666667,4.491943061111112
4.039779303846155,3.887233361333333,4.495944530769231
4.0671813312000005,3.8842088380000006,4.503297627
4.046954232,3.8920060540000008,4.501453746999999
3.9934446458333333,3.8975177111111106,4.502465744565218
4.015250228999999,3.894837106944444,4.509416925
4.0395121255555555,3.9102481222222223,4.1640970133333335
4.0459440933333335,3.905509541666667,4.167397655
4.102931038823529,3.8936144763888887,3.9301526224999996
4.100685147058824,3.9021927863636363,3.9421136475000003
4.084513705882353,3.771820527272727,3.9354904225
4.096561007058823,3.7636439477272727,3.9383700375000004
4.1003230611764705,3.7668186454545456,3.9429186300000003
4.125751022352941,3.769706013095238,3.9313422925
4.132801618749999,3.7762301750000002,3.9257308368421056
4.146534448333333,3.7739016100000002,3.9197936305555556
4.092074430952381,3.7723327875,3.921955488888889
4.041301459523809,3.7771754499999997,3.9094932823529414
4.02748720952381,3.7655769250000004,3.9152212735294123
4.014772963888889,3.7735944200000002,3.9035292200000002
4.0189532,3.7746819499999997,3.887193513333333
