Main - E1,Main - E2,Main - E3
3.43841743401741,3.19440156531765,3.126559886674822
3.447563165173045,3.206982561994451,3.135850079482525
3.449790387694132,3.2152146698325756,3.140878615769286
3.457802544383815,3.2248143564149507,3.155900015172658
3.4663074650069476,3.2198082650761095,3.1547738915196355
3.4758632412917003,3.2453500416133076,3.1791455972450535
3.475108767523332,3.2526407318161406,3.1857006006865043
3.4754711632741433,3.2613305829526746,3.198461686897283
3.4949559696156656,3.269957575033825,3.2046915568405696
3.499237968910537,3.2792803360180978,3.2077144696311373
3.50935003302468,3.2884793858320913,3.219356601000387
3.5230031583650856,3.2978674137489667,3.2286541248408263
3.5384240345218094,3.3042939748515856,3.2080863793899006
3.5396364541544565,3.3174668043534297,3.2197101166926716
3.5504930186902657,3.3244399948191528,3.2195186761007593
3.563581743825383,3.3320551838823165,3.2561141228985404
3.5793339411520213,3.340561386682251,3.2487413689748883
3.5855951810933226,3.3475689861149314,3.2583229910706626
3.5905197882629856,3.3585858758118072,3.25924607472746
3.5886432903771066,3.36524242419229,3.244444487015863
3.5904331412289308,3.371377222493172,3.267200702657874
3.6036125263176286,3.3710126880284563,3.3009184148698076
3.605612752863003,3.377504286973631,3.302400442636795
3.6157387480624323,3.381921619610375,3.296893640900026
3.6166256322024686,3.3979752743463267,3.302634377052388
3.622882004764185,3.405833857440302,3.3243064021413247
3.6370874250348053,3.4117236053857005,3.3281471998580123
3.6283968654308594,3.407373082160956,3.330169689335551
3.628734132297798,3.4059295477193827,3.335567511600403
3.6375842008192643,3.4382503928086576,3.3403705436845472
3.6592274644363045,3.439220603249563,3.3520178858197367
3.6593539571023674,3.4356895584586753,3.342706902816033
3.6529025196124025,3.452478763437443,3.355257828893369
3.671892413838049,3.4437657315238193,3.359282570231467
3.6781902153708614,3.457781009365361,3.3704289002290104
3.6754219860922697,3.4603482858712624,3.375245247577238
3.683693736050201,3.461882769150722,3.33911442723239
3.6895465738387507,3.4558053971731484,3.3800468671940562
3.6973720901297837,3.455879704617948,3.3814151106549857
3.7024798966150554,3.4694247953509567,3.39149518078991
3.702155664782501,3.4815125746847273,3.397158522567177
3.703697470765828,3.4864363648618415,3.401356727513105
3.707238830733057,3.4862617042806385,3.402159904023185
